Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age (day),Concrete compressive strength 
148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28.0,17.95395504
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3.0,27.42046052
272.6,0.0,89.6,198.7,10.6,931.3,762.2,28.0,32.24541357
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28.0,55.55108132
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28.0,33.00383717
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.63826496
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,100.0,46.2293658
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7.0,23.4049523
173.0,116.0,0.0,192.0,0.0,946.8,856.8,7.0,11.39221195
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3.0,24.0971862
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,3.0,13.33446584
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56.0,53.77223324
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28.0,39.05192064
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,56.0,51.4349096
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28.0,45.93978588
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28.0,33.60506024
356.0,0.0,142.0,193.0,11.0,801.0,778.0,28.0,40.86524252
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90.0,35.76312012
424.0,22.0,132.0,168.0,8.92,822.0,750.0,28.0,72.09850532
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3.0,40.59634688
316.1,210.7,0.0,185.7,0.0,977.0,689.3,28.0,38.70028788
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,56.0,31.53663224
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7.0,30.27558064
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28.0,18.28766142
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3.0,14.94094492
387.0,20.0,94.0,157.0,13.93,938.0,845.0,7.0,45.89841732
424.0,22.0,132.0,178.0,8.48,822.0,750.0,28.0,62.05284
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28.0,31.02642
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56.0,54.76507868
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7.0,35.10122316
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28.0,52.44637089
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14.0,22.53207568
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.39821744
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,3.0,12.5484632
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56.0,73.69808964
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28.0,27.93549909
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,100.0,56.8128224
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180.0,61.92183956
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28.0,23.69039536
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,28.0,41.40992856
387.0,20.0,94.0,157.0,14.32,938.0,845.0,28.0,50.23522136
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28.0,22.34798559
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14.0,34.23937816
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3.0,10.0318758
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28.0,23.786922
313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28.0,41.05346947
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3.0,11.6549023
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3.0,14.306627
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3.0,33.79811352
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28.0,27.53077668
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.3991368
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28.0,26.14492992
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14.0,26.77235308
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,56.0,51.25564584
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14.0,21.60128308
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7.0,37.99702236
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06342182
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56.0,42.54756396
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28.0,47.27736932
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28.0,52.20022796
108.3,162.4,0.0,203.5,0.0,938.2,849.0,90.0,29.23171397
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28.0,45.2985732
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,3.0,23.80071152
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.07976945
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3.0,14.98920824
194.68,0.0,100.52,170.17,7.48,998.0,901.8,28.0,37.2661778
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7.0,24.00065956
153.0,102.0,0.0,192.0,0.0,888.0,943.1,28.0,17.96429718
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,14.0,36.9903874
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14.0,24.98661024
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,14.0,33.70158688
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,100.0,45.3675208
321.4,0.0,127.9,182.5,11.5,870.1,779.7,28.0,37.26548832
310.0,0.0,0.0,192.0,0.0,970.0,850.0,7.0,14.98920824
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.88736576
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,22.89749796
193.5,290.2,0.0,185.7,0.0,998.2,704.3,28.0,32.6266938
149.0,117.6,91.7,182.9,7.1,953.4,780.3,28.0,23.52423164
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,100.0,37.9556538
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28.0,55.64760796
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28.0,52.30364936
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28.0,43.57833058
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,100.0,49.97322048
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7.0,38.01770664
159.0,149.0,116.0,175.0,15.0,953.0,720.0,28.0,27.67556664
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7.0,20.41607384
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3.0,6.902344236
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14.0,29.7508894
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,3.0,15.60973664
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,28.0,33.94290348
280.0,129.0,100.0,172.0,9.0,825.0,805.0,28.0,52.82075636
252.31,0.0,98.75,146.25,14.17,987.76,889.01,3.0,21.78054684
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270.0,67.11359384
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,28.0,44.63667624
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28.0,24.90387312
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28.0,27.8748252
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,23.51802636
446.0,24.0,79.0,162.0,11.61,967.0,712.0,7.0,52.00717468
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,100.0,55.0201848
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56.0,68.75060685
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,3.0,23.52492112
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3.0,6.940954892
249.1,0.0,98.75,158.11,12.8,987.76,889.01,100.0,51.0556978
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,56.0,31.35047372
164.2,0.0,200.1,181.2,12.6,849.3,846.0,28.0,15.09125069
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90.0,34.6806428
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28.0,39.0932892
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28.0,35.31427124
277.05,0.0,97.39,160.6,11.83,973.9,875.61,56.0,51.03501352
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14.0,20.91870184
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28.0,17.27551066
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28.0,21.7529678
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28.0,32.03994972
387.0,20.0,94.0,157.0,14.32,938.0,845.0,3.0,22.752708
254.0,0.0,0.0,198.0,0.0,968.0,863.0,180.0,27.62730332
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90.0,31.35047372
334.0,17.6,158.0,189.0,15.3,967.0,633.0,28.0,44.32641204
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,56.0,33.96358776
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28.0,33.76226077
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120.0,40.85834776
238.05,0.0,94.11,186.66,7.0,949.91,847.01,56.0,39.58971192
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28.0,40.92522693
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28.0,32.72046253
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,28.0,39.1622368
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28.0,33.39959639
325.6,166.4,0.0,174.0,8.9,881.6,790.0,28.0,61.23581094
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7.0,13.08901238
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7.0,47.09810556
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360.0,42.1269836
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,14.0,29.59230992
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28.0,38.6306508
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28.0,10.53588276
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28.0,44.38846488
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28.0,33.71882378
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14.0,25.3727168
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.6982994
290.35,0.0,96.18,168.08,9.41,961.18,865.0,14.0,34.67374804
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14.0,36.93522932
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28.0,36.44363293
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0,25.02108404
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180.0,34.48758952
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.80073164
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0,11.36256448
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3.0,41.2996124
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,56.0,46.6430514
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3.0,3.31982694
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28.0,26.96540636
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3.0,28.096147
146.0,230.0,0.0,202.0,3.0,827.0,872.0,28.0,33.0603742
202.0,11.0,141.0,206.0,1.72,942.0,801.0,28.0,21.96670536
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7.0,55.59934464
277.05,0.0,97.39,160.6,11.83,973.9,875.61,14.0,41.885667
387.0,20.0,94.0,157.0,13.93,938.0,845.0,28.0,46.68441996
290.35,0.0,96.18,168.08,9.41,961.18,865.0,28.0,34.73580088
393.0,0.0,0.0,192.0,0.0,940.6,785.6,7.0,27.74244581
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90.0,39.6621069
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7.0,26.0621928
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,14.0,21.0634918
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28.0,8.53571288
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3.0,13.62404576
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28.0,22.48932817
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7.0,30.14389072
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28.0,25.74503384
122.6,183.9,0.0,203.5,0.0,958.2,800.1,7.0,10.35455057
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56.0,43.49904084
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,14.0,20.08443588
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,100.0,35.34253976
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,56.0,35.34253976
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28.0,26.85991653
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14.0,59.76377968
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28.0,21.53923024
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,3.0,11.98309288
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,100.0,44.20920112
159.0,187.0,0.0,176.0,11.0,990.0,789.0,28.0,32.76389952
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,48.8466167
336.5,0.0,0.0,181.9,3.4,985.8,816.8,28.0,44.86834018
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28.0,39.0560575
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28.0,15.56974703
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7.0,30.9574724
250.0,0.0,95.69,187.42,5.53,956.86,861.17,3.0,13.81709904
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28.0,15.52010476
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180.0,32.32952964
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100.0,37.6798634
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28.0,56.61287436
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1.0,6.26733684
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7.0,39.300132
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28.0,33.68779736
298.0,0.0,107.0,186.0,6.0,879.0,815.0,28.0,42.63719584
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28.0,53.52402188
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56.0,66.82401392
424.0,22.0,132.0,178.0,8.48,882.0,750.0,3.0,32.01138572
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3.0,28.99936056
276.4,116.0,90.3,179.6,8.9,870.1,768.3,28.0,44.284354
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28.0,81.75116932
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56.0,35.852752
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,56.0,31.715896
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.14196225
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7.0,21.48062478
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736
359.0,19.0,141.0,154.0,10.91,942.0,801.0,28.0,59.49488404
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7.0,24.0654703
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91.0,82.5992248
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56.0,66.78067543
149.0,236.0,0.0,176.0,13.0,847.0,893.0,28.0,32.9569528
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28.0,16.49916068
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56.0,48.58737372
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,54.37828264
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28.0,31.89998609
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28.0,65.90907927
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,14.0,29.93015316
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7.0,17.54026944
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28.0,29.86810032
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28.0,49.24927068
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7.0,9.617500724
250.0,0.0,95.69,187.42,5.53,956.86,861.17,28.0,29.21999288
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28.0,24.04616498
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3.0,21.29101888
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7.0,23.52354217
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0,39.37597436
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3.0,28.59946448
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28.0,29.06830816
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28.0,33.41890172
134.7,0.0,165.7,180.2,10.0,961.0,804.9,28.0,13.29378676
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3.0,9.694722036
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28.0,25.10382116
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,56.0,51.95891136
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365.0,36.14922668
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,3.0,21.02212324
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,56.0,53.46196904
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.07640202
295.71,0.0,95.64,171.54,8.87,955.14,859.2,28.0,39.94134468
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,100.0,40.14818748
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28.0,52.42086028
200.0,133.0,0.0,192.0,0.0,965.4,806.2,28.0,30.43967592
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7.0,34.90127512
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.79941252
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7.0,10.3938507
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28.0,41.540929
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0,59.79825348
250.0,0.0,95.69,187.42,5.53,956.86,861.17,100.0,42.34761592
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.131420144
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.2960751
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28.0,38.80439876
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.44776979
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28.0,39.60488039
491.0,26.0,123.0,201.0,3.93,822.0,699.0,3.0,29.54897143
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3.0,20.72564856
222.36,0.0,96.67,189.29,4.46,967.08,870.32,3.0,11.57630204
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28.0,37.81086384
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,28.0,29.65436276
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932
528.0,0.0,0.0,185.0,6.86,920.0,720.0,28.0,56.83350668
491.0,26.0,123.0,201.0,3.93,822.0,699.0,56.0,61.85584685
212.0,141.3,0.0,203.5,0.0,973.4,750.0,7.0,15.0305768
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28.0,19.76520849
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,28.0,40.14818748
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28.0,49.77327244
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.75906322
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,100.0,56.7438748
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0,33.4195912
355.0,19.0,97.0,145.0,13.13,967.0,871.0,28.0,44.02993736
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3.0,7.31534036
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7.0,24.43778734
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28.0,19.69143456
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,28.0,24.48329276
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.62064842
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90.0,32.53292506
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28.0,31.87516496
254.0,0.0,0.0,198.0,0.0,968.0,863.0,365.0,29.7853632
194.68,0.0,100.52,170.17,7.48,998.0,901.8,56.0,43.38872468
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3.0,24.39366088
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28.0,21.6495464
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,3.0,19.51906556
290.2,193.5,0.0,185.7,0.0,998.2,704.3,28.0,33.0431373
284.0,15.0,141.0,179.0,5.46,842.0,801.0,3.0,13.39553372
250.0,0.0,95.69,187.42,5.53,956.86,861.17,14.0,24.91766264
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,14.0,33.08795324
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28.0,31.2677366
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28.0,53.38612668
424.0,22.0,132.0,178.0,8.48,822.0,750.0,7.0,39.00464228
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28.0,52.20022796
252.31,0.0,98.75,146.25,14.17,987.76,889.01,100.0,60.9496784
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180.0,38.99676256
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28.0,71.98818916
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28.0,35.22532884
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7.0,7.507014688
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90.0,25.46096973
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28.0,15.52631004
162.0,190.0,148.0,179.0,19.0,838.0,741.0,28.0,33.75674496
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28.0,26.84819544
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28.0,18.19871902
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28.0,22.93197176
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28.0,12.4595208
298.1,0.0,107.0,186.4,6.1,879.0,815.2,28.0,42.6440906
322.0,0.0,0.0,203.0,0.0,974.0,800.0,28.0,25.17966352
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,100.0,43.0577762
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7.0,11.95758227
255.0,0.0,0.0,192.0,0.0,889.8,945.0,3.0,8.204074924
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91.0,67.79617508
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0,17.3403214
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,3.0,15.340841
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7.0,46.80163088
233.81,0.0,94.58,197.89,4.567,947.04,852.16,56.0,27.66177712
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7.0,17.20035777
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3.0,13.22414968
446.0,24.0,79.0,162.0,11.61,967.0,712.0,28.0,57.02655996
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28.0,40.0585556
424.0,22.0,132.0,168.0,8.92,822.0,750.0,3.0,32.10988228
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28.0,37.36339392
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,28.0,30.21973308
520.0,0.0,0.0,175.0,5.2,870.0,805.0,28.0,51.021224
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100.0,63.52831864
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28.0,39.58281716
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90.0,40.65839972
296.0,0.0,107.0,221.0,11.0,819.0,778.0,28.0,31.41942132
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,14.0,19.41564416
